species_code,scientific_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALISPP,Alia spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
ANEMON,Anemones (generic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,X
ANTELS,Anthopleura elegantissima/sola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
ANTSPP,Anthopleura species,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
ARTCOR,Articulated corallines,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
CHTBAL,Balanus/Chthamalus,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
ROCK,Bare rock,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X
BARESUB,bare substrate,X,X,X,X,X,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
CAUUST,Caulacanthus ustulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
CENSPP,Centroceras spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,X
